name	age	gender	start_second	end_second	label	P	A	Extraversion	Agreeableness	Conscientiousness	Negative_Emotionality	Open_Mindedness
01	72	0	0	1	hap	0.4	0.2	44	36	37	48	42
01	72	0	1	2	dis	-0.4	0.2	44	36	37	48	42
01	72	0	2	3	sur	0.2	0.45	44	36	37	48	42
01	72	0	3	4	sur	0.2	0.45	44	36	37	48	42
01	72	0	4	5	sur	0.2	0.45	44	36	37	48	42
01	72	0	5	6	dis	-0.4	0.2	44	36	37	48	42
01	72	0	6	7	dis	-0.4	0.2	44	36	37	48	42
01	72	0	7	8	dis	-0.4	0.2	44	36	37	48	42
01	72	0	8	9	sur	0.2	0.45	44	36	37	48	42
01	72	0	9	10	hap	0.4	0.2	44	36	37	48	42
01	72	0	10	11	hap	0.4	0.2	44	36	37	48	42
01	72	0	11	12	hap	0.4	0.2	44	36	37	48	42
01	72	0	12	13	ang	-0.51	0.59	44	36	37	48	42
01	72	0	13	14	ang	-0.51	0.59	44	36	37	48	42
01	72	0	14	15	dis	-0.4	0.2	44	36	37	48	42
01	72	0	15	16	sur	0.2	0.45	44	36	37	48	42
01	72	0	16	17	ang	-0.51	0.59	44	36	37	48	42
01	72	0	17	18	sur	0.2	0.45	44	36	37	48	42
01	72	0	18	19	sur	0.2	0.45	44	36	37	48	42
01	72	0	19	20	sur	0.2	0.45	44	36	37	48	42
01	72	0	20	21	sur	0.2	0.45	44	36	37	48	42
01	72	0	21	22	sur	0.2	0.45	44	36	37	48	42
01	72	0	22	23	sur	0.2	0.45	44	36	37	48	42
01	72	0	23	24	sur	0.2	0.45	44	36	37	48	42
01	72	0	24	25	sur	0.2	0.45	44	36	37	48	42
01	72	0	25	26	sur	0.2	0.45	44	36	37	48	42
01	72	0	26	27	sur	0.2	0.45	44	36	37	48	42
01	72	0	27	28	sur	0.2	0.45	44	36	37	48	42
01	72	0	28	29	sur	0.2	0.45	44	36	37	48	42
01	72	0	29	30	sur	0.2	0.45	44	36	37	48	42
01	72	0	30	31	sur	0.2	0.45	44	36	37	48	42
01	72	0	31	32	sur	0.2	0.45	44	36	37	48	42
01	72	0	32	33	sur	0.2	0.45	44	36	37	48	42
01	72	0	33	34	sur	0.2	0.45	44	36	37	48	42
01	72	0	34	35	sur	0.2	0.45	44	36	37	48	42
01	72	0	35	36	sur	0.2	0.45	44	36	37	48	42
01	72	0	36	37	ang	-0.51	0.59	44	36	37	48	42
01	72	0	37	38	sur	0.2	0.45	44	36	37	48	42
01	72	0	38	39	sur	0.2	0.45	44	36	37	48	42
01	72	0	39	40	sur	0.2	0.45	44	36	37	48	42
01	72	0	40	41	sur	0.2	0.45	44	36	37	48	42
01	72	0	41	42	sur	0.2	0.45	44	36	37	48	42
01	72	0	42	43	sur	0.2	0.45	44	36	37	48	42
01	72	0	43	44	ang	-0.51	0.59	44	36	37	48	42
01	72	0	44	45	ang	-0.51	0.59	44	36	37	48	42
01	72	0	45	46	dis	-0.4	0.2	44	36	37	48	42
01	72	0	46	47	sur	0.2	0.45	44	36	37	48	42
01	72	0	47	48	sur	0.2	0.45	44	36	37	48	42
01	72	0	48	49	sur	0.2	0.45	44	36	37	48	42
01	72	0	49	50	sur	0.2	0.45	44	36	37	48	42
01	72	0	50	51	sur	0.2	0.45	44	36	37	48	42
01	72	0	51	52	sur	0.2	0.45	44	36	37	48	42
01	72	0	52	53	sur	0.2	0.45	44	36	37	48	42
01	72	0	53	54	sur	0.2	0.45	44	36	37	48	42
01	72	0	54	55	sur	0.2	0.45	44	36	37	48	42
01	72	0	55	56	sur	0.2	0.45	44	36	37	48	42
01	72	0	56	57	sur	0.2	0.45	44	36	37	48	42
01	72	0	57	58	sur	0.2	0.45	44	36	37	48	42
01	72	0	58	59	sur	0.2	0.45	44	36	37	48	42
01	72	0	59	60	sur	0.2	0.45	44	36	37	48	42
01	72	0	60	61	sur	0.2	0.45	44	36	37	48	42
01	72	0	61	62	sur	0.2	0.45	44	36	37	48	42
01	72	0	62	63	sur	0.2	0.45	44	36	37	48	42
01	72	0	63	64	sur	0.2	0.45	44	36	37	48	42
01	72	0	64	65	sur	0.2	0.45	44	36	37	48	42
01	72	0	65	66	sur	0.2	0.45	44	36	37	48	42
01	72	0	66	67	sur	0.2	0.45	44	36	37	48	42
01	72	0	67	68	sur	0.2	0.45	44	36	37	48	42
01	72	0	68	69	sur	0.2	0.45	44	36	37	48	42
01	72	0	69	70	sur	0.2	0.45	44	36	37	48	42
01	72	0	70	71	sur	0.2	0.45	44	36	37	48	42
01	72	0	71	72	sur	0.2	0.45	44	36	37	48	42
01	72	0	72	73	sur	0.2	0.45	44	36	37	48	42
01	72	0	73	74	sur	0.2	0.45	44	36	37	48	42
01	72	0	74	75	sur	0.2	0.45	44	36	37	48	42
01	72	0	75	76	sur	0.2	0.45	44	36	37	48	42
01	72	0	76	77	sur	0.2	0.45	44	36	37	48	42
01	72	0	77	78	ang	-0.51	0.59	44	36	37	48	42
01	72	0	78	79	ang	-0.51	0.59	44	36	37	48	42
01	72	0	79	80	ang	-0.51	0.59	44	36	37	48	42
01	72	0	80	81	sur	0.2	0.45	44	36	37	48	42
01	72	0	81	82	ang	-0.51	0.59	44	36	37	48	42
01	72	0	82	83	sur	0.2	0.45	44	36	37	48	42
01	72	0	83	84	sur	0.2	0.45	44	36	37	48	42
01	72	0	84	85	hap	0.4	0.2	44	36	37	48	42
01	72	0	85	86	ang	-0.51	0.59	44	36	37	48	42
01	72	0	86	87	ang	-0.51	0.59	44	36	37	48	42
01	72	0	87	88	ang	-0.51	0.59	44	36	37	48	42
01	72	0	88	89	sur	0.2	0.45	44	36	37	48	42
01	72	0	89	90	dis	-0.4	0.2	44	36	37	48	42
01	72	0	90	91	sur	0.2	0.45	44	36	37	48	42
01	72	0	91	92	ang	-0.51	0.59	44	36	37	48	42
01	72	0	92	93	sur	0.2	0.45	44	36	37	48	42
01	72	0	93	94	ang	-0.51	0.59	44	36	37	48	42
01	72	0	94	95	ang	-0.51	0.59	44	36	37	48	42
01	72	0	95	96	sur	0.2	0.45	44	36	37	48	42
01	72	0	96	97	ang	-0.51	0.59	44	36	37	48	42
01	72	0	97	98	ang	-0.51	0.59	44	36	37	48	42
01	72	0	98	99	ang	-0.51	0.59	44	36	37	48	42
01	72	0	99	100	sur	0.2	0.45	44	36	37	48	42
01	72	0	100	101	sur	0.2	0.45	44	36	37	48	42
01	72	0	101	102	sur	0.2	0.45	44	36	37	48	42
01	72	0	102	103	sur	0.2	0.45	44	36	37	48	42
01	72	0	103	104	ang	-0.51	0.59	44	36	37	48	42
01	72	0	104	105	ang	-0.51	0.59	44	36	37	48	42
01	72	0	105	106	ang	-0.51	0.59	44	36	37	48	42
01	72	0	106	107	sur	0.2	0.45	44	36	37	48	42
01	72	0	107	108	sur	0.2	0.45	44	36	37	48	42
01	72	0	108	109	sur	0.2	0.45	44	36	37	48	42
01	72	0	109	110	sur	0.2	0.45	44	36	37	48	42
01	72	0	110	111	sur	0.2	0.45	44	36	37	48	42
01	72	0	111	112	sur	0.2	0.45	44	36	37	48	42
01	72	0	112	113	sur	0.2	0.45	44	36	37	48	42
01	72	0	113	114	sur	0.2	0.45	44	36	37	48	42
01	72	0	114	115	sur	0.2	0.45	44	36	37	48	42
01	72	0	115	116	sur	0.2	0.45	44	36	37	48	42
01	72	0	116	117	sur	0.2	0.45	44	36	37	48	42
01	72	0	117	118	sur	0.2	0.45	44	36	37	48	42
01	72	0	118	119	sur	0.2	0.45	44	36	37	48	42
01	72	0	119	120	sur	0.2	0.45	44	36	37	48	42
01	72	0	120	121	sur	0.2	0.45	44	36	37	48	42
01	72	0	121	122	sur	0.2	0.45	44	36	37	48	42
01	72	0	122	123	sur	0.2	0.45	44	36	37	48	42
01	72	0	123	124	sur	0.2	0.45	44	36	37	48	42
01	72	0	124	125	ang	-0.51	0.59	44	36	37	48	42
01	72	0	125	126	sur	0.2	0.45	44	36	37	48	42
01	72	0	126	127	sur	0.2	0.45	44	36	37	48	42
01	72	0	127	128	sur	0.2	0.45	44	36	37	48	42
01	72	0	128	129	sur	0.2	0.45	44	36	37	48	42
01	72	0	129	130	sur	0.2	0.45	44	36	37	48	42
01	72	0	130	131	sur	0.2	0.45	44	36	37	48	42
01	72	0	131	132	sur	0.2	0.45	44	36	37	48	42
01	72	0	132	133	sur	0.2	0.45	44	36	37	48	42
01	72	0	133	134	sur	0.2	0.45	44	36	37	48	42
01	72	0	134	135	sur	0.2	0.45	44	36	37	48	42
01	72	0	135	136	sur	0.2	0.45	44	36	37	48	42
01	72	0	136	137	sur	0.2	0.45	44	36	37	48	42
01	72	0	137	138	sur	0.2	0.45	44	36	37	48	42
01	72	0	138	139	fea	-0.64	0.6	44	36	37	48	42
01	72	0	139	140	dis	-0.4	0.2	44	36	37	48	42
01	72	0	140	141	ang	-0.51	0.59	44	36	37	48	42
01	72	0	141	142	neu	0	0	44	36	37	48	42
01	72	0	142	143	fea	-0.64	0.6	44	36	37	48	42
01	72	0	143	144	fea	-0.64	0.6	44	36	37	48	42
01	72	0	144	145	ang	-0.51	0.59	44	36	37	48	42
01	72	0	145	146	ang	-0.51	0.59	44	36	37	48	42
01	72	0	146	147	sur	0.2	0.45	44	36	37	48	42
01	72	0	147	148	sur	0.2	0.45	44	36	37	48	42
01	72	0	148	149	sur	0.2	0.45	44	36	37	48	42
01	72	0	149	150	sur	0.2	0.45	44	36	37	48	42
01	72	0	150	151	sur	0.2	0.45	44	36	37	48	42
01	72	0	151	152	sur	0.2	0.45	44	36	37	48	42
01	72	0	152	153	sur	0.2	0.45	44	36	37	48	42
01	72	0	153	154	sur	0.2	0.45	44	36	37	48	42
01	72	0	154	155	sur	0.2	0.45	44	36	37	48	42
01	72	0	155	156	sur	0.2	0.45	44	36	37	48	42
01	72	0	156	157	sur	0.2	0.45	44	36	37	48	42
01	72	0	157	158	sur	0.2	0.45	44	36	37	48	42
01	72	0	158	159	sur	0.2	0.45	44	36	37	48	42
01	72	0	159	160	ang	-0.51	0.59	44	36	37	48	42
01	72	0	160	161	sur	0.2	0.45	44	36	37	48	42
01	72	0	161	162	sur	0.2	0.45	44	36	37	48	42
01	72	0	162	163	sur	0.2	0.45	44	36	37	48	42
01	72	0	163	164	sur	0.2	0.45	44	36	37	48	42
01	72	0	164	165	sur	0.2	0.45	44	36	37	48	42
01	72	0	165	166	sur	0.2	0.45	44	36	37	48	42
01	72	0	166	167	sur	0.2	0.45	44	36	37	48	42
